Title,Supervisor,Aim,URLs,Pre- and Co-Req,Background
Digital repositories for Art Archives (18 or 24 pts),"Supervisors: Tom Denison, Gillian Oliver",To develop a prototype digital repository suitable for use by artists participating in the Monash University Prato Artists in Residence Program.,,Familiarity with digital repositories and/or open source software and/or archival principles.,"How can a living archive be created that not only documents the Monash University Prato Centre (MUPC) Visual Residency Program but also engages artists-in-residence in a direct and active way as part of their residency experience in Prato? In collaboration with Monash University Museum of Art and Monash University Prato Centre, this project aims to help realise the creative possibilities inherent in cross-fertilizing artistic processes with archival theory. It will establish a prototype archival platform that complements contemporary art practices and supports the ability to record, relate and re-vision ephemera and events associated with transformative, creative experience as artefacts themselves."
,,,https://en.wikipedia.org/wiki/Branch_and_bound,,
,,,https://en.wikipedia.org/wiki/Approximation_algorithm,,
,,,http://dx.doi.org/10.1007/978-3-319-11008-0,,
,,,https://www.cc.gatech.edu/fac/Vijay.Vazirani/book.pdf,,
,,,http://www.designofapproxalgs.com/book.pdf,,
Approximation algorithms in the Branch-and-Bound algorithm (18 or 24 pts),Supervisors: Pierre Le Bodic,"In this project you will analyse theoretically and experimentally the benefits of using approximation algorithms (i.e. heuristics with a performance guarantee) to compute the bound, compared to a bound computed using linear programming.",,A strong background in computational complexity is necessary. Knowledge of integer programming is a plus.,"In this project you will analyse theoretically and experimentally the benefits of using approximation algorithms (i.e. heuristics with a performance guarantee) to compute the bound, compared to a bound computed using linear programming."
,,,https://www.youtube.com/watch?v=tMpsMt7ETi8,,
,,,https://www.youtube.com/watch?v=YSrnV0wZywU,,
,,,https://www.youtube.com/watch?v=lT4X3cuIHK8,,
Automated Warehouse Optimisation (18 or 24 pts),Supervisors: Daniel Harabor and Pierre Le Bodic,"The aim of this project is to formalise one of the problems related to warehouse automation, design methods to solve the problem, and run experiments to assess their performance.",,"Strong general background in CS, both in theory and practice, and interest in pathfinding and/or optimisation.","The aim of this project is to formalise one of the problems related to warehouse automation, design methods to solve the problem, and run experiments to assess their performance."
,,,http://www.cpmanual.vic.gov.au/,,
,,,http://firstmonday.org/ojs/index.php/fm/article/view/1107,,
,,,https://www.socialactionresearchcentre.org.au/wp-content/uploads/Parents-in-the-child-protection-system.pdf,,
A Child Protection Recordkeeping App for Parents and Family Members (24 pts),Supervisors:Associate Professor Joanne Evans and Dr Greg Rolan,"In this exploratory project, we would like to investigate how digital and networked information technologies could be used to support the recordkeeping needs of parents in child protection cases. It will involve the use of a design science approach to develop a model the information architecture of a recordkeeping system for parents. This may entail the creation of a prototype utilising existing and/or new open source components as a demonstrator for further research and development.",,"The ideal candidate will have a background in one or more of software development, data analytics, and recordkeeping metadata modelling, with a keen desire to expand their knowledge and skills into the other areas encompassed by this research project. They will have.","Hersberger, J. A. (2013). Are the economically poor information poor? Does the digital divide affect the homeless and access to information? Presented at the Proceedings of the Annual Conference of CAIS/Actes du congrès annuel de l’ACSI."
,,,https://dh2017.adho.org/abstracts/098/098.pdf,,
,,,https://www.childabuseroyalcommission.gov.au/final-report,,
Text Analysis of the Royal Commission Report (24 pts),Supervisors: Dr Gregory Rolan and TBA,This project concerns the use of machine learning techniques to analyse a complex corpus of text and identify connections between textual elements.,,This project would suit someone with a Data science or NLP background.,This is an early foray into using machine-learning techniques for recordkeeping analytics and the results of this analysis will provide strategic input into our recordkeeping system design.
Immersive visualisation of thunderstorms (18 or 24 pts),Supervisors: Bernie Jenny (FIT) and Christian Jakob (Atmospheric Sciences),This project concerns the use of machine learning techniques to analyse a complex corpus of text and identify connections between textual elements.,,Interest in computer graphics/OpenGL.,"In this project we will explore advanced 3-d visualisations of radar data in the Darwin region. Using 3-d volume measurements of rainfall-related quantities every 10 minutes over a 100 km x 100 km area we will explore visualisation options that will help weather and climate scientists to better understand how thunderstorms evolve over their lifetime. This is a collaborative project of the Immersive Analytics group of the Faculty of Information Technology and the Atmospheric Science group of the Monash School of Earth, Atmosphere and Environment."
Augmented reality table-top GIS for the HoloLens (18 or 24 pts),Supervisor: Bernie Jenny,This project concerns the use of machine learning techniques to analyse a complex corpus of text and identify connections between textual elements.,,Interest in Unity game engine.,"You contribute to building a AR geographic information system for any table top (or other horizontal surface). The system uses augmented reality headsets, such as the Microsoft HoloLens. You can make a contribution in the following areas: invent and evaluate user interactions for creating maps, including ways to adjust their size, scale, and orientation; design gestures and voice commands for adjusting map content and styling; combine 3D maps with diagrams placed on the maps or on the table; enable collaborative features for multiple simultaneous users."
,,,http://doi.org/10.1080/17445647.2017.1313788,,
,,,http://usmigrationflowmapper.com/,,
,,,https://www.researchgate.net/publication/314281925_Force-directed_Layout_of_Origin-destination_Flow_Maps,,
,,,https://www.researchgate.net/publication/311588861_Design_principles_for_origin-destination_flow_maps,,
Branching flow maps (18 or 24 pts),Supervisor: Bernie Jenny,This project concerns the use of machine learning techniques to analyse a complex corpus of text and identify connections between textual elements.,,"Interest in flow maps and map design, programming langue.","The goal of this project is to (1) identify design principles applied in manual cartography for creating merging and branching lines on flow maps, (2) review existing algorithms for bundling and clustering origin-destination flows, and (3) propose and implement a method for the automated creation of merging and branching flows."
Robustness of Australian gas and electricity networks (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, David Green",The aim of this project is to develop a methodology for assessing the reliability of networks with consideration of dependent failures. The next step would be to study the Australian electricity and gas networks topology and identify the critical nodes which make these networks susceptible to failure. The outcome will be a practical proposal to improve these networks’ resilience to disturbance (physical failure or cyber attack).,,Network theory,The aim of this project is to develop a methodology for assessing the reliability of networks with consideration of dependent failures. The next step would be to study the Australian electricity and gas networks topology and identify the critical nodes which make these networks susceptible to failure. The outcome will be a practical proposal to improve these networks’ resilience to disturbance (physical failure or cyber attack).
Forecast of energy demand with micro- and macro-economic parameters (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, Manos Varvarigos, Lachlan Andrew",The goal of this project is to develop efficient probabilistic forecasting algorithms for medium- and short-term energy demand projection with consideration of macroeconomic parameters and mixed-frequency data. Students with prior knowledge (or motivation to master) in statistical analysis are suggested for this project.,,Data analysis,The goal of this project is to develop efficient probabilistic forecasting algorithms for medium- and short-term energy demand projection with consideration of macroeconomic parameters and mixed-frequency data. Students with prior knowledge (or motivation to master) in statistical analysis are suggested for this project.
,,,http://www.springer.com/gp/book/9789812876515,,
"Modelling of energy systems with PV, stationary battery, and electric vehicle (18 or 24 pts)","Supervisors:  Kaveh Rajab Khalilpour, Pierre Le Bodic","Imagine your family in 2030, when your house has a rooftop PV, and a stationary battery to store surplus PV generation. You also have an electric car that you could either charge at home, work, or e-stations (petrol stations of tomorrow). At night, you might connect your stationary or car battery to supply your house’s energy demand! The objective of this project is to develop an optimization scheduling program for energy management (minimum bill) of your future house.",,mixed-integer programming and Simulink (can learn during the thesis),"Imagine your family in 2030, when your house has a rooftop PV, and a stationary battery to store surplus PV generation. You also have an electric car that you could either charge at home, work, or e-stations (petrol stations of tomorrow). At night, you might connect your stationary or car battery to supply your house’s energy demand! The objective of this project is to develop an optimization scheduling program for energy management (minimum bill) of your future house."
Multi-attribute decision making approaches for evaluation of energy storage technologies (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, Aldeida Aleti","You are thinking of buying an energy storage system to store your surplus PV generation to use later (rather than selling to the grid at a low price). There are several energy storage products in the market, with various features (lifetime, cost, charge time, depth of discharge, energy throughput, weight, volume, etc.) which makes the decision-making complex. The objective of this research is to utilize Multi-Attribute Decision Making approaches for evaluation of energy storage systems.",,Background or interest in learning (behavioural) decision analysis,"You are thinking of buying an energy storage system to store your surplus PV generation to use later (rather than selling to the grid at a low price). There are several energy storage products in the market, with various features (lifetime, cost, charge time, depth of discharge, energy throughput, weight, volume, etc.) which makes the decision-making complex. The objective of this research is to utilize Multi-Attribute Decision Making approaches for evaluation of energy storage systems."
Mathematical modelling of stress management mechanism by human neural systems (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, David Green","It is known today that HPA axis regulates many body processes, including digestion, the immune system, mood and emotions, sexuality, and energy storage and expenditure.  The objective of this project is to develop a mathematical model of HPA axis in Matlab and simulate a feed-back and feed-forward control mechanism.",,"Experience or interest in learning mathematical modeling (differential equations, and optimization) is required. Background in Biology is not necessary.","It is known today that HPA axis regulates many body processes, including digestion, the immune system, mood and emotions, sexuality, and energy storage and expenditure.  The objective of this project is to develop a mathematical model of HPA axis in Matlab and simulate a feed-back and feed-forward control mechanism."
A macroeconomic life cycle model for a sustainable Australia (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, Andrew Hoadley","The goal of this study is to use the world input–output tables and through life cycle assessment identify the key Australian industries which should be regulated first to reach a given environmental target, while achieving the demand satisfaction.",,linear optimisation,"The goal of this study is to use the world input–output tables and through life cycle assessment identify the key Australian industries which should be regulated first to reach a given environmental target, while achieving the demand satisfaction."
Equation-based modeling of natural gas liquefaction system (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, Andrew Hoadley","The goal of this study is to develop an equation-based modelling program for natural gas liquefaction with C3MR process. It will include modelling compressors, turbines, and various types of heat exchangers.",,linear optimisation; thermodynamics; Refrigeration systems.,"The goal of this study is to develop an equation-based modelling program for natural gas liquefaction with C3MR process. It will include modelling compressors, turbines, and various types of heat exchangers."
Simulation and operation of PV-battery systems integrated with a desalination unit (18 or 24 pts),"Supervisors: Kaveh Rajab Khalilpour, John Betts; Manos Varvarigos",The goal of this study is to develop a mathematical program for optimal design and operation of a desalination system integrated with a PV and battery to supply both electricity and water demands.,,Mathematical programming; Linear and nonlinear optimisation,The goal of this study is to develop a mathematical program for optimal design and operation of a desalination system integrated with a PV and battery to supply both electricity and water demands.
,,,http://www.springer.com/gp/book/9789812876515,,
